""	"Group"	"Site"	"Host"	"Region"	"Type"	"Year"	"Province_1"	"Province_2"	"Conservation"	"gut_section"	"Sex"	"Size"	"Size_range"	"Longitude"	"Latitude"	"BO22_chlomean_bdmean"	"BO22_curvelmean_bdmean"	"BO22_dissoxmean_bdmean"	"BO22_ironmean_bdmean"	"BO22_phosphatemean_bdmean"	"BO22_lightbotmean_bdmean"	"BO22_ph"	"BO22_nitratemean_bdmean"	"BO22_tempmean_bdmean"	"BO22_carbonphytomean_bdmean"	"BO22_ppmean_bdmean"	"BO22_salinitymean_bdmean"	"BO22_silicatemean_bdmean"
"C4_2_Chi"	"C4_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"41.5"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C4_Chi_Tr"	"C4_Chi_Tr"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"37"	"35-40"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C4_FALK_22"	"C4_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"41"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C4_Paf"	"C4_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"43"	"40-45"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C4_SOG_22"	"C4_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut content"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"M"	"26"	"25-30"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
"C5_1_Chi"	"C5_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C5_2_Chi"	"C5_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C5_FALK_22"	"C5_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"35"	"35-40"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C5_Paf"	"C5_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"50"	"50-55"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C5_SOG_22"	"C5_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut content"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"ND"	"20"	"20-25"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
"C6_1_Chi"	"C6_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"41.5"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C6_2_Chi"	"C6_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"41.5"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C6_Chi_Tr"	"C6_Chi_Tr"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C6_FALK_22"	"C6_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"37"	"35-40"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C6_Paf"	"C6_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"46"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C6_SOG_22"	"C6_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut content"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"ND"	"23"	"20-25"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
"C6a_Par1"	"C6a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"F"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C6b_Par1"	"C6b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"F"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C6c_Par1"	"C6c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C7_1_Chi"	"C7_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"41"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C7_2_Chi"	"C7_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"41"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C7_Chi_Tr"	"C7_Chi_Tr"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"33"	"30-35"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C7_FALK_22"	"C7_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"34"	"30-35"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C7_Paf"	"C7_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"48"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C7_SOG_22"	"C7_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut content"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"ND"	"19"	"15-20"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
"C7a_Par1"	"C7a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"F"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C7b_Par1"	"C7b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"F"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C7c_Par1"	"C7c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C8_1_Chi"	"C8_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"39"	"35-40"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C8_2_Chi"	"C8_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"39"	"35-40"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C8_Chi_Tr"	"C8_Chi_Tr"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"28"	"25-30"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C8_FALK_22"	"C8_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"34"	"30-35"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C8_Paf"	"C8_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"46"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C9_1_Chi"	"C9_1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"43"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C9_2_Chi"	"C9_2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"43"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C9_Chi_Tr"	"C9_Chi_Tr"	"KGI"	"Agassizii"	"Antarctica"	"Gut content"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"27"	"25-30"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"C9_FALK_22"	"C9_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut content"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"34"	"30-35"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"C9_Paf"	"C9_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut content"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"49"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"C9a_Par1"	"C9a_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"a"	"M"	"34"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C9b_Par1"	"C9b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"M"	"34"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"C9c_Par1"	"C9c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut content"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"34"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G10_Chi"	"G10_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut tissue"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"42"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"G10_FALK_22"	"G10_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut tissue"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"34"	"30-35"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"G10c_Par1"	"G10c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut tissue"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"27"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G12_FALK_22"	"G12_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut tissue"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"39"	"35-40"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"G12b_Par1"	"G12b_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut tissue"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"b"	"M"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G13_FALK_22"	"G13_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut tissue"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"G13_Paf"	"G13_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut tissue"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"45"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"G13c_Par1"	"G13c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut tissue"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G14_Chi"	"G14_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut tissue"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"G14_FALK_22"	"G14_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut tissue"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"43"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"G14_Paf"	"G14_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut tissue"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"52"	"50-55"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"G14c_Par1"	"G14c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut tissue"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"26"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G15_Chi"	"G15_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut tissue"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"39"	"35-40"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"G15_Paf"	"G15_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut tissue"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"51"	"50-55"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"G15c_Par1"	"G15c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut tissue"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"25"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G16c_Par1"	"G16c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut tissue"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"28"	"25-30"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G17c_Par1"	"G17c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut tissue"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"F"	"33"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G18c_Par1"	"G18c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut tissue"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"30"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G1_Chi"	"G1_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut tissue"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"41"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"G1_FALK_22"	"G1_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut tissue"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"43"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"G2_Chi"	"G2_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut tissue"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"M"	"32"	"30-35"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"G2_FALK_22"	"G2_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut tissue"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"44"	"40-45"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"G2_PCR28_SOG_22"	"G2_PCR28_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut tissue"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"M"	"29"	"25-30"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
"G2_Paf"	"G2_Paf"	"KER"	"Cordatus"	"Kerguelen"	"Gut tissue"	2017	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"F"	"46"	"45-50"	70.21909972	-49.3537	0.261807407	2.52939935	0.586667964	-0.6142577	0.330889714	0.033134308	0.670932852	0.359425195	0.237155645	0.254718257	0.29744366	0.0800894	-0.063079298
"G2_SOG_22"	"G2_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut tissue"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"M"	"29"	"25-30"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
"G2c_Par1"	"G2c_Par1"	"PAT"	"Cavernosus"	"Patagonia"	"Gut tissue"	2019	"Subantarctic"	"Subantarctic"	"frozen"	"c"	"M"	"31"	"30-35"	-69.48625	-52.3313806	1.454404544	-0.850891797	-1.259681503	2.299596905	-1.67345314	1.561152894	1.176493091	-1.712885135	1.139541923	1.540438731	1.339630185	-2.088150286	-1.393340451
"G3_Chi"	"G3_Chi"	"KGI"	"Agassizii"	"Antarctica"	"Gut tissue"	2019	"Antarctic"	"Antarctic"	"frozen"	"entire"	"F"	"40"	"40-45"	-58.95785972	-62.21879	-0.823188566	-0.473030745	0.661973987	-0.421573657	0.757307826	-0.708502204	-0.891681985	0.728823521	-0.882926873	-0.835953707	-0.846918015	0.682706001	0.906654272
"G3_FALK_22"	"G3_FALK_22"	"FALK"	"Cavernosus"	"Falkland"	"Gut tissue"	2022	"Subantarctic"	"Subantarctic"	"frozen"	"entire"	"M"	"39"	"35-40"	-57.785758	-51.6960667	1.336693781	1.053379616	-0.842113938	-0.484490896	-0.34903657	-0.310230698	0.280273664	-0.172068614	1.093768794	1.163314124	1.090872994	0.480935491	-1.028470978
"G3_SOG_22"	"G3_SOG_22"	"SOG"	"Agassizii"	"South Georgia"	"Gut tissue"	2021	"Antarctic"	"Subantarctic"	"ethanol"	"entire"	"M"	"22"	"20-25"	-36.664	-54.162	-0.973733999	-0.028714479	1.00263645	-0.940640875	0.44516031	-0.7232771	-0.179308622	0.503065626	-0.33264623	-0.844822063	-0.810239756	0.305649305	-0.12058983
